county,nearest_town,town_size,landcover_types,elevation_m,dist_to_town_m,dist_to_water_m,topographic_hazard,landcover_risk,water_proximity_risk,vulnerability_score,flood_risk_score,risk_category
Narok,Maji Moto,Town,rangeland,1851.0,17585.096932902296,9854269.207341865,0.0,3.0,0,0.0,0.8,Low
Narok,Maji Moto,Town,rangeland,1893.0,19192.794355641443,9860596.76508429,0.0,3.0,0,0.0,0.8,Low
Narok,Ngorengore,Town,rangeland,1917.0,19372.15188915485,9866924.323393967,0.0,3.0,0,0.0,0.8,Low
Narok,Ngorengore,Town,unknown,1918.0,13441.533103811415,9873251.882269803,0.0,0.0,0,0.0,0.0,Low
Narok,Ngorengore,Town,unknown,1935.0,8133.666058133345,9879579.441710712,0.0,0.0,0,1.5,0.3,Low
Narok,Ngorengore,Town,unknown,1965.0,5632.530773071972,9885907.001715608,0.0,0.0,0,1.5,0.3,Low
Narok,Ngorengore,Town,unknown,2029.0,8796.672681984652,9892234.562283408,0.0,0.0,0,1.5,0.3,Low
Narok,Kapkimolwa,Town,unknown,2009.0,13969.579695786013,9898562.123413032,0.0,0.0,0,0.0,0.0,Low
Narok,Kembu,Town,unknown,2026.0,13804.419606319016,9904889.685103405,0.0,0.0,0,0.0,0.0,Low
Narok,Kembu,Town,rangeland,2228.0,13391.389362859116,9911217.247353453,0.0,3.0,0,0.0,0.8,Low
Narok,Kembu,Town,"forests,protected_areas",2306.0,15753.849861797837,9917544.810162105,0.0,1.0,0,0.0,0.2,Low
Narok,Ambusket,Town,"forests,protected_areas",2370.0,12864.526879003077,9923872.373528289,0.0,1.0,0,0.0,0.2,Low
Narok,Cheptwech,Town,"forests,protected_areas",2250.0,10046.875827499924,9930199.937450944,0.0,1.0,0,0.0,0.2,Low
Bomet,Cheptwech,Town,"forests,protected_areas",2338.0,9252.252461336699,9936527.501929004,0.0,1.0,0,1.5,0.6,Low
Nakuru,Cheptwech,Town,protected_areas,2401.0,12261.96580175543,9942855.06696141,0.0,1.0,0,0.0,0.2,Low
Nakuru,Mukuki,Town,protected_areas,2440.0,13908.0004235739,9949182.632547103,0.0,1.0,0,0.0,0.2,Low
Nakuru,Keusa,Town,protected_areas,2525.0,12572.855124588783,9955510.198685028,0.0,1.0,0,0.0,0.2,Low
Nakuru,Keusa,Town,protected_areas,2578.0,6265.019419740527,9961837.765374135,0.0,1.0,0,1.5,0.6,Low
Nakuru,Keusa,Town,protected_areas,2666.0,715.1354246249351,9968165.332613373,0.0,1.0,0,6.0,1.5,Low
Kericho,Kedowa,Town,unknown,2194.0,2072.5425085884594,9974492.900401693,0.0,0.0,0,3.0,0.6,Low
Kericho,Londiani,Town,unknown,2291.0,4173.308529177059,9980820.468738055,0.0,0.0,0,3.0,0.6,Low
Kericho,Londiani,Town,unknown,2341.0,5644.406840653141,9987148.037621412,0.0,0.0,0,1.5,0.3,Low
Kericho,Equator,Town,protected_areas,2386.0,7769.943765572557,9993475.60705073,0.0,1.0,0,1.5,0.6,Low
Baringo,Equator,Town,protected_areas,2702.0,1516.1354580230377,9999803.17702497,0.0,1.0,0,6.0,1.5,Low
Baringo,Timboroa,Town,protected_areas,2790.0,2484.184111334499,10006130.747543098,0.0,1.0,0,3.0,0.8,Low
Uasin Gishu,Timboroa,Town,unknown,2639.0,4674.3975001630915,10012458.318604084,0.0,0.0,0,3.0,0.6,Low
Uasin Gishu,Kapengutuny,Town,unknown,2535.0,1083.5745257802555,10018785.8902069,0.0,0.0,0,6.0,1.2,Low
Keiyo-Marakwet,Kamwosor,Town,forests,2555.0,2394.0611734974204,10025113.462350518,0.0,1.0,0,3.0,0.8,Low
Keiyo-Marakwet,Tumeiyo,Town,protected_areas,2633.0,5960.426238398065,10031441.035033915,0.0,1.0,0,1.5,0.6,Low
